Time,Thrust,T_cc,p_cc,OF,T_tank,p_tank,x_tank
[s],[N],[K],[Pa],[-],[K],[Pa],[-]
0.018,3955.35242049571,2992.02234902308,2025992.60180955,6.0725471195043,292.342105263158,4960580,0.959134572794227
0.019,3957.56995440283,2992.90899001732,2027022.88608164,6.07238742159408,292.342105263158,4960580,0.959500248963192
0.02,3957.97296950837,2993.54223146587,2027177.12390078,6.07236349555335,292.342105263158,4960580,0.959866197789874
0.021,3957.14888750032,2993.44844298629,2026864.02972482,6.07206682738872,292.332105263158,4959440.00000001,0.960181572385996
0.022,3956.4510098264,2993.34177511241,2026695.12947454,6.07209303754411,292.332105263158,4959440.00000001,0.960548056538871
0.023,3956.12442102981,2993.07865965126,2026655.84486699,6.07209913294651,292.332105263158,4959440.00000001,0.960914836722623
0.024,3956.31115401833,2993.10687826549,2026854.67507993,6.07173163881845,292.322105263158,4958315.78947369,0.961235407610958
0.025,3956.37391882657,2993.41445838143,2026984.83331996,6.07171142201565,292.322105263158,4958315.78947369,0.961602721528405
0.026,3955.96797421344,2993.29571227635,2026864.93721052,6.07173004498037,292.322105263158,4958315.78947369,0.961970326842944
0.027,3955.78511975694,2993.20820005799,2026894.43580816,6.07139096290845,292.312105263158,4957195.78947369,0.962292722653874
0.028,3955.71311719166,2993.39867587225,2026981.99811654,6.07137735207283,292.312105263158,4957195.78947369,0.962660868834634
0.029,3955.40844363208,2993.27835499112,2026917.29624244,6.07138740959394,292.312105263158,4957195.78947369,0.963029308195394
0.03,3955.3301993233,2993.24010652293,2026989.84360846,6.0710414182797,292.302105263158,4956075.78947369,0.963352309258658
0.031,3955.26293798874,2993.45415061856,2027073.28004483,6.07102843773778,292.302105263158,4956075.78947369,0.963721289387243
0.032,3954.91532355124,2993.32369137949,2026987.88472225,6.07104172301446,292.302105263158,4956075.78947369,0.964090563757882
0.033,3954.81442446255,2993.26996182034,2027051.92434909,6.07069683589164,292.292105263158,4954955.78947369,0.964414172060061
0.034,3954.75550446503,2993.48107991655,2027140.20689477,6.07068309024792,292.292105263158,4954955.78947369,0.964783989509155
