Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
267.00	3.5000	942.52	0.0010610	148.15	151.87	0.66262	0.90921	2.1208	613.46	0.20810	undefined	undefined	liquid
268.00	3.5000	937.48	0.0010667	150.26	154.00	0.67058	0.90935	2.1384	605.78	0.22588	undefined	undefined	liquid
269.00	3.5000	932.36	0.0010725	152.39	156.14	0.67858	0.90953	2.1571	598.00	0.24456	undefined	undefined	liquid
270.00	3.5000	927.14	0.0010786	154.54	158.31	0.68662	0.90974	2.1769	590.13	0.26420	undefined	undefined	liquid
271.00	3.5000	921.83	0.0010848	156.70	160.50	0.69471	0.90999	2.1980	582.15	0.28490	undefined	undefined	liquid
272.00	3.5000	916.41	0.0010912	158.89	162.71	0.70285	0.91030	2.2205	574.05	0.30674	undefined	undefined	liquid
273.00	3.5000	910.88	0.0010978	161.10	164.94	0.71104	0.91065	2.2446	565.83	0.32984	undefined	undefined	liquid
274.00	3.5000	905.23	0.0011047	163.33	167.20	0.71929	0.91105	2.2704	557.47	0.35431	undefined	undefined	liquid
275.00	3.5000	899.46	0.0011118	165.59	169.48	0.72761	0.91152	2.2982	548.97	0.38031	undefined	undefined	liquid
276.00	3.5000	893.54	0.0011191	167.88	171.79	0.73601	0.91206	2.3283	540.31	0.40798	undefined	undefined	liquid
277.00	3.5000	887.48	0.0011268	170.19	174.14	0.74449	0.91267	2.3609	531.47	0.43753	undefined	undefined	liquid
277.67	3.5000	883.30	0.0011321	171.78	175.74	0.75026	0.91313	2.3845	525.41	0.45862	undefined	undefined	liquid
277.67	3.5000	97.429	0.010264	360.58	396.50	1.5453	0.89756	1.8742	208.72	14.268	undefined	undefined	vapor
278.00	3.5000	97.021	0.010307	361.03	397.11	1.5475	0.89448	1.8562	209.22	14.216	undefined	undefined	vapor
279.00	3.5000	95.811	0.010437	362.41	398.94	1.5541	0.88555	1.8048	210.71	14.059	undefined	undefined	vapor
280.00	3.5000	94.662	0.010564	363.75	400.72	1.5604	0.87732	1.7585	212.15	13.906	undefined	undefined	vapor
281.00	3.5000	93.568	0.010687	365.05	402.46	1.5666	0.86974	1.7167	213.54	13.756	undefined	undefined	vapor
282.00	3.5000	92.523	0.010808	366.33	404.15	1.5727	0.86273	1.6786	214.89	13.609	undefined	undefined	vapor
283.00	3.5000	91.523	0.010926	367.57	405.82	1.5785	0.85624	1.6439	216.19	13.465	undefined	undefined	vapor
284.00	3.5000	90.565	0.011042	368.80	407.44	1.5843	0.85024	1.6120	217.46	13.324	undefined	undefined	vapor
285.00	3.5000	89.644	0.011155	370.00	409.04	1.5899	0.84466	1.5827	218.69	13.185	undefined	undefined	vapor
286.00	3.5000	88.758	0.011267	371.18	410.61	1.5954	0.83949	1.5556	219.88	13.049	undefined	undefined	vapor
287.00	3.5000	87.904	0.011376	372.34	412.15	1.6008	0.83467	1.5306	221.05	12.916	undefined	undefined	vapor
288.00	3.5000	87.080	0.011484	373.48	413.67	1.6061	0.83020	1.5073	222.19	12.784	undefined	undefined	vapor
289.00	3.5000	86.284	0.011590	374.60	415.17	1.6112	0.82603	1.4857	223.31	12.656	undefined	undefined	vapor
290.00	3.5000	85.514	0.011694	375.71	416.64	1.6163	0.82215	1.4656	224.40	12.529	undefined	undefined	vapor
291.00	3.5000	84.768	0.011797	376.81	418.10	1.6213	0.81853	1.4468	225.46	12.405	undefined	undefined	vapor
292.00	3.5000	84.044	0.011899	377.89	419.54	1.6263	0.81516	1.4292	226.51	12.282	undefined	undefined	vapor
293.00	3.5000	83.342	0.011999	378.96	420.96	1.6311	0.81202	1.4127	227.53	12.162	undefined	undefined	vapor
294.00	3.5000	82.660	0.012098	380.02	422.36	1.6359	0.80908	1.3972	228.53	12.044	undefined	undefined	vapor
295.00	3.5000	81.997	0.012196	381.07	423.75	1.6406	0.80635	1.3826	229.52	11.928	undefined	undefined	vapor
296.00	3.5000	81.352	0.012292	382.11	425.13	1.6453	0.80379	1.3688	230.49	11.813	undefined	undefined	vapor
297.00	3.5000	80.724	0.012388	383.13	426.49	1.6499	0.80141	1.3559	231.44	11.701	undefined	undefined	vapor
298.00	3.5000	80.112	0.012482	384.15	427.84	1.6544	0.79919	1.3437	232.37	11.590	undefined	undefined	vapor
299.00	3.5000	79.516	0.012576	385.16	429.18	1.6589	0.79711	1.3321	233.30	11.482	undefined	undefined	vapor
300.00	3.5000	78.933	0.012669	386.16	430.50	1.6633	0.79518	1.3211	234.20	11.375	undefined	undefined	vapor
